recipe_id,figure_family,status,required_roles,optional_roles,default_width_cm,default_height_cm,qa_profile,source_evidence
grouped_bar_errorbar_raw,grouped bar / errorbar,production_recipe,"group;category;value;error","sample;panel",8.9,6.2,bar_errorbar_detail,"bar_dot_error_sig.R;groups-bar-dot-errorbar-Dunnett.R"
stacked_bar_fraction,stacked bar,production_recipe,"group;category;value","sample;panel",8.9,6.0,bar_fraction_semantics,"stacked_bar.R;stacked_bar_1.R"
boxplot_jitter,boxplot / jitter,production_recipe,"group;value","sample;panel",8.9,6.2,distribution_raw_points,"box-violin-dot.R;boxplot_point.R"
violin_dot,violin / dot,production_recipe,"group;value","sample;panel",8.9,6.2,distribution_raw_points,"compare_violin_1.R;violin_facet_sig.R"
raincloud_violin_jitter,raincloud,production_recipe,"group;value","sample;panel",8.9,6.2,raincloud_detail,"raincloud.R;diff_raincloud_1.R"
paired_comparison,paired comparison,production_recipe,"sample;group;value","panel",8.9,6.2,paired_semantics,"paired_scatter.R"
scatter_regression,scatter / regression,production_recipe,"x;y;group","label;panel",8.9,6.2,scatter_regression_detail,"scatter_plot1.R;scatter_fits_1.R"
scatter_marginal_reference,scatter / marginal,production_recipe,"x;y;group","label;panel",8.9,6.2,scatter_marginal_detail,"scatter_histogram.R"
correlation_heatmap,heatmap,production_recipe,"metric;category;value","group;label",8.9,7.0,heatmap_detail,"correlation_heatmap.R;corrplot.R"
annotated_heatmap,annotated heatmap,template_candidate,"metric;category;value;group","label",12.0,7.2,heatmap_annotation_detail,"heatmap-significant.R;double_heatmap_1color.R"
matrix_dotplot,matrix dotplot,production_recipe,"metric;category;value;count","group",12.0,6.8,matrix_dotplot_detail,"corr_Dotplot_sig1.R;bubble-heatmap.R"
pca_pcoa_ordination,PCA / PCoA,production_recipe,"pc1;pc2;group","sample;label",8.9,6.2,ordination_detail,"PCoA.R;PCA_ade4.R"
pcoa_marginal_box,PCoA marginal,production_recipe,"pc1;pc2;group","sample;label",8.9,6.2,ordination_marginal_detail,"PCoA_marginalBox.R;PCoA_box_dot_PERMANOVA.R"
volcano_threshold,volcano,production_recipe,"feature;log2fc;padj","label",8.9,6.2,volcano_detail,"volcano.R;volcano_facet1.R"
ma_plot,MA plot,production_recipe,"feature;base_mean;log2fc;padj","label",8.9,6.2,ma_detail,"volcano_gsea.R;volcano_enrich1.R"
enrichment_dotplot,enrichment,production_recipe,"term;ratio;qvalue;count","category",8.9,6.8,enrichment_detail,"doubleY_GO-enrich.R;beautiful_bubble.R"
forest_effect_size,forest / effect-size,production_recipe,"metric;estimate;lower;upper","group",8.9,6.2,forest_ci_detail,"model_recovery.R"
model_validation_composite,model validation,template_candidate,"x;y;group","error",18.0,8.5,model_validation_detail,"model_recovery.R"
lollipop_ranked,lollipop / ranked dot,production_recipe,"category;value","group;label",8.9,7.0,lollipop_detail,"network_bar.R;line_dot.R"
dumbbell_comparison,dumbbell,production_recipe,"category;group;value","label",8.9,7.0,dumbbell_detail,"dumbbell_stacked_bar.R"
manhattan_genomewide,Manhattan / genomewide,production_recipe,"chr;position;pvalue","feature;label",18.0,7.0,manhattan_detail,"genomewide pattern from code archive"
ridgeline_density,ridgeline / density,production_recipe,"group;value","panel",8.9,7.0,density_detail,"ridges.R;facet_ridge.R"
upset_summary,upset / set,production_recipe,"item;set;present","category",8.9,7.0,upset_detail,"ComplexUpset_plot.R;upsetR_plot.R"
phylo_annotation_reference,phylo / tree,specialized_reference,"node;parent;group","label;value",8.9,7.0,specialized_tree_detail,"Figure1d.R;tree-like reference scripts"
circos_chord_sankey_reference,circos / chord / sankey,specialized_reference,"source;target;value","group",8.9,7.0,specialized_flow_detail,"group_chord_bar.R;sankey_networkD3_v1.R"
bar_dot_errorbar_template,grouped bar / errorbar,production_recipe,"group;category;value;error","sample;label",8.9,6.2,bar_dot_errorbar_detail,"bar_dot_error_sig.R;groups-bar-dot-errorbar-Dunnett.R"
horizontal_errorbar_summary,grouped bar / errorbar,template_candidate,"group;category;value;error","sample;panel",8.9,6.4,horizontal_interval_detail,"errorbar summary variants from code archive"
stacked_fraction_composition,stacked bar,production_recipe,"group;category;value","denominator;panel",8.9,6.0,bar_fraction_semantics,"stacked_bar.R;stacked_bar_1.R"
diverging_composition_bar,stacked bar,benchmark_recipe,"group;category;value","direction;panel",8.9,6.0,diverging_bar_semantics,"composition bar variants from code archive"
composition_bar_labels,stacked bar,template_candidate,"group;category;value","label;denominator",8.9,6.0,bar_label_burden,"stacked bar label variants"
box_jitter_facet,boxplot / jitter,production_recipe,"group;value;metric","sample;panel",12.0,6.4,distribution_raw_points,"boxplot facet scripts"
beeswarm_box_reference,boxplot / jitter,reference_recipe,"group;value","sample;label",8.9,6.2,distribution_raw_points,"ggbeeswarm-like source scripts"
violin_quantile_dot,violin / dot,production_recipe,"group;value","sample;panel",8.9,6.2,distribution_raw_points,"violin_facet_sig.R"
raincloud_facet,raincloud,template_candidate,"group;value;metric","sample;panel",12.0,6.5,raincloud_detail,"raincloud.R;diff_raincloud_1.R"
ridge_facet_density,ridgeline / density,production_recipe,"group;value","panel",8.9,7.0,density_detail,"ridges.R;facet_ridge.R"
histogram_density_overlay,ridgeline / density,benchmark_recipe,"group;value","panel",8.9,6.0,density_histogram_detail,"density / histogram overlay scripts"
labelled_scatter_regression,scatter / regression,production_recipe,"x;y;group","label",8.9,6.2,scatter_label_detail,"scatter_plot1.R;scatter_fits_1.R"
scatter_ci_ribbon,scatter / regression,template_candidate,"x;y;group","ci;panel",8.9,6.2,scatter_regression_detail,"scatter fit confidence interval scripts"
bubble_scatter_support,scatter / regression,production_recipe,"x;y;count;group","label",8.9,6.2,bubble_scatter_detail,"bubble scatter scripts"
marginal_rug_scatter,scatter / marginal,production_recipe,"x;y;group","label",8.9,6.2,scatter_marginal_detail,"scatter_histogram.R"
correlation_scatter_grid,scatter / regression,benchmark_recipe,"x;y;group","facet;label",12.0,7.0,scatter_grid_detail,"correlation scatter grid scripts"
time_series_line,time series,production_recipe,"time;value;group","error;panel",8.9,6.2,time_series_detail,"line chart source patterns"
time_series_ribbon,time series,template_candidate,"time;value;group;error","panel",8.9,6.2,time_series_ribbon_detail,"ribbon line chart source patterns"
pca_confidence_ellipse,PCA / PCoA,production_recipe,"pc1;pc2;group","sample;label",8.9,6.2,ordination_detail,"PCA_ade4.R;PCoA.R"
pcoa_permanova_annotation,PCoA marginal,template_candidate,"pc1;pc2;group","permanova;sample",8.9,6.2,ordination_statistics_detail,"PCoA_box_dot_PERMANOVA.R"
nmds_stress_ordination,NMDS ordination,production_recipe,"pc1;pc2;group","stress;sample",8.9,6.2,ordination_stress_detail,"NMDS.R"
umap_cluster_scatter,UMAP / embedding,benchmark_recipe,"pc1;pc2;group","label;sample",8.9,6.2,embedding_detail,"embedding source scripts"
tsne_cluster_scatter,t-SNE / embedding,benchmark_recipe,"pc1;pc2;group","label;sample",8.9,6.2,embedding_detail,"embedding source scripts"
heatmap_cluster_reference,heatmap,template_candidate,"metric;category;value","cluster;label",8.9,7.0,heatmap_cluster_detail,"ComplexHeatmap-like source patterns"
heatmap_annotation_bar,annotated heatmap,template_candidate,"metric;category;value;group","annotation",12.0,7.2,heatmap_annotation_detail,"heatmap-significant.R;double_heatmap_1color.R"
heatmap_cell_label,heatmap,production_recipe,"metric;category;value","label",8.9,7.0,heatmap_cell_label_detail,"cell-labelled heatmap scripts"
correlation_triangle_heatmap,heatmap,benchmark_recipe,"metric;category;value","triangle;label",8.9,7.0,correlation_heatmap_detail,"corrplot.R"
matrix_dotplot_two_scale,matrix dotplot,production_recipe,"metric;category;value;count","group",12.0,6.8,matrix_dotplot_detail,"corr_Dotplot_sig1.R;bubble-heatmap.R"
enrichment_lollipop,enrichment,production_recipe,"term;ratio;qvalue;count","category",8.9,6.8,enrichment_lollipop_detail,"GO enrichment lollipop scripts"
enrichment_bar_dot,enrichment,template_candidate,"term;ratio;qvalue;count","category",8.9,6.8,enrichment_bar_dot_detail,"doubleY_GO-enrich.R;beautiful_bubble.R"
gsea_running_score,GSEA,benchmark_recipe,"rank;running_score","hit;pathway",8.9,5.4,gsea_running_score_detail,"GSEA-like source scripts"
volcano_facet,volcano,template_candidate,"feature;log2fc;padj;group","label",12.0,7.0,volcano_facet_detail,"volcano_facet1.R"
volcano_labelled,volcano,production_recipe,"feature;log2fc;padj","label",8.9,6.2,volcano_label_detail,"volcano.R"
ma_density,MA plot,benchmark_recipe,"feature;base_mean;log2fc;padj","density",8.9,6.2,ma_detail,"volcano_gsea.R"
manhattan_faceted,Manhattan / genomewide,template_candidate,"chr;position;pvalue","feature;label",18.0,7.0,manhattan_detail,"genomewide faceted source patterns"
regional_association_reference,Manhattan / genomewide,reference_recipe,"chr;position;pvalue","feature;window",12.0,6.0,regional_association_detail,"regional association source patterns"
genome_track_reference,genome track / synteny,optional_backend_recipe,"chr;start;end;track","feature;score",18.0,6.2,genome_track_detail,"genome track source patterns"
synteny_link_reference,genome track / synteny,optional_backend_recipe,"chr;start;end;target","feature;score",18.0,6.2,synteny_detail,"synteny-like source patterns"
